"bin","bbl","evictions"
1006485,"1004540029",3
1006486,"1004540031",1
1006491,"1004540038",1
1006494,"1004540041",2
1006496,"1004540043",1
1006498,"1004540045",2
1006500,"1004540047",2
1006501,"1004540050",4
1006503,"1004540056",2
1006504,"1004540057",5
1006505,"1004540059",3
1006507,"1004540063",1
1006519,"1004550027",2
1006525,"1004550037",4
1006528,"1004550040",4
1006534,"1004550050",1
1006540,"1004570020",1
1006553,"1004580032",1
1006573,"1004590028",1
1006576,"1004590032",5
1006580,"1004600001",2
1006581,"1004600019",5
1006591,"1004600035",1
1006592,"1004600036",1
1006593,"1004600037",2
1006595,"1004600040",3
1006611,"1004610009",1
1006612,"1004610011",1
1006614,"1004610016",1
1006624,"1004610029",2
1006625,"1004610030",2
1006627,"1004610032",1
1006629,"1004610035",5
1006641,"1004610053",2
1006646,"1004620015",4
1006647,"1004620016",1
1006648,"1004620017",1
1006657,"1004630007",1
1006668,"1004630018",3
1006669,"1004630019",1
1006670,"1004630020",3
1006672,"1004630023",4
1006673,"1004630024",5
1006674,"1004630025",7
1006675,"1004630026",10
1006680,"1004630032",1
1006693,"1004630048",3
1006741,"1004647501",1
1006745,"1004640033",1
1006748,"1004647503",4
1006750,"1004640044",8
1006751,"1004640045",1
1006752,"1004640046",2
1006755,"1004640051",1
1006758,"1004640054",5
1006759,"1004640055",1
1006761,"1004640058",2
1006790,"1004657501",1
1006794,"1004650046",1
1006795,"1004650047",6
1006801,"1004650057",2
1006807,"1004660005",1
1006811,"1004660016",1
1006812,"1004660018",2
1006824,"1004660054",4
1006826,"1004670001",2
1006832,"1004670020",7
1006835,"1004670025",2
1006837,"1004670035",6
1006839,"1004670047",2
1006843,"1004670050",4
1006851,"1004680001",4
1006852,"1004680004",6
1006856,"1004680015",2
1006861,"1004680021",1
1006862,"1004680023",3
1006870,"1004680038",1
1006873,"1004680044",6
1006875,"1004680046",2
1006880,"1004680053",2
1006901,"1004697504",1
1006902,"1004690021",6
1006903,"1004690023",15
1006904,"1004690025",1
1006906,"1004690030",24
1006910,"1004690036",2
1006912,"1004690040",1
1006913,"1004690042",7
1006927,"1004700019",6
1006932,"1004700025",2
1006934,"1004700028",1
1006935,"1004700029",3
1006938,"1004700032",1
1006941,"1004700039",1
1006961,"1004710008",1
1006963,"1004710014",1
1006966,"1004710018",3
1006975,"1004710030",1
1006976,"1004710031",1
1006977,"1004710033",3
1006984,"1004710041",4
1006985,"1004710043",5
1006988,"1004710047",1
1006992,"1004710052",8
1007018,"1004730028",3
1007026,"1004730043",2
1007027,"1004730044",1
1007028,"1004730045",2
1007052,"1004747504",1
1007053,"1004747502",1
1007074,"1004750032",4
1007099,"1004760015",2
1007100,"1004760019",5
1007101,"1004767501",2
